Rank,Change,Name,League Number,League,Steam Name,Xbox Name,PSN Name,Cashouts
161,-1,TotalShotgun#1791,19,Diamond 2,PME | Societytvv,,,0
162,107,GuardianCharge#0054,19,Diamond 2,✝ Mxnk ✝,,,0
163,64,BaSsilA#8313,19,Diamond 2,F3 BaSsilA,,,0
164,184,SurrealHero#1786,19,Diamond 2,HypnosMJ_Twitch,,,0
165,20,TWITCHFREDRBG#0936,19,Diamond 2,,,Fred_Rbg,0
166,-1,WrangledCash#0304,19,Diamond 2,DREAD,,,0
167,-6,Moosh#1155,19,Diamond 2,Moosh,,,0
168,44,Aimpoint72#3046,19,Diamond 2,Aimpoint72,,,0
169,-37,Eternl#2837,19,Diamond 2,,EternI,,0
170,87,CrystalShotgun#2557,19,Diamond 2,Rugs,,,0
171,-4,NveeaaY#5515,19,Diamond 2,YeeaavN,,,0
172,-24,SurrealSpark#5990,19,Diamond 2,LambGyros,,,0
173,65,condone#1798,19,Diamond 2,twitch.tv/concretegooniee,,,0
174,10,Balmungs_TTV#5520,19,Diamond 2,I'm... Gonna.. OSPUZE™,,,0
175,-9,Hi-techHolster#1831,19,Diamond 2,냐옹,,,0
176,-6,FortniteEdit#8610,19,Diamond 2,Fortnite Edit,,,0
177,197,NimblePerson#3475,19,Diamond 2,Playboifarti,,,0
178,-14,PoloBoy#0176,19,Diamond 2,PoloBoy,,,0
179,151,SSguap#2725,19,Diamond 2,,SS guap,,0
180,-3,Umgajoportugues#9018,19,Diamond 2,,David PT#6908,,0
181,9,iThornTV#0360,19,Diamond 2,iThornTV twitch,,,0
182,-7,SuddenHabit#4088,19,Diamond 2,♔Мами♔,SoftYapper95513,,0
183,-4,Broskii#1788,19,Diamond 2,,,zIBroskii,0
184,121,loverduck#0664,19,Diamond 2,호상,,hosang12,0
185,-4,RandomArena#9850,19,Diamond 2,OmniJames,,,0
186,131,Rippie#0112,19,Diamond 2,Rippie[TTV],,,0
187,75,Sylux#8146,19,Diamond 2,Sylux_o TTV,,Sylux6000,0
188,-5,Villafye#9665,19,Diamond 2,Villafye [TTV],,Villafye,0
189,107,Hi-techImpala#9902,19,Diamond 2,DAOKO,,,0
190,-60,GrandRelic#5329,19,Diamond 2,,,Aboulouz,0
191,-60,osama#9494,19,Diamond 2,,,DPG1_,0
192,-65,SkilledSoup#2652,19,Diamond 2,,Shiki Kudo,,0
193,17,BlueHabit#6299,19,Diamond 2,,BlazingWings34,,0
194,228,Suhhpreme#1117,19,Diamond 2,,Suhhpreme,,0
195,219,SuddenRinger#3341,19,Diamond 2,@Shroom_gg,,,0
196,-3,RelaxedSmiley#5794,19,Diamond 2,中国老兵.爱钱,,,0
197,-24,GreenGuide#7769,19,Diamond 2,,,corbra95,0
198,-2,Dyzho#3406,19,Diamond 2,,Dyzho,ed--mundo03,0
199,-28,PacolemTTV#0270,19,Diamond 2,ND1 PacolemTTV,,,0
200,86,Ruining#1211,19,Diamond 2,,Ruining,,0
201,112,killer#1544,19,Diamond 2,EG SHAWA,NRGshady#6347,,0
202,-62,Lion#0156,19,Diamond 2,,MrGoldenLion98,,0
203,13,GreenHat#5580,19,Diamond 2,,,SuperSayianGod_5,0
204,31,UnusualExec#0494,19,Diamond 2,,Mindless#3117,,0
205,168,Eidon#1228,19,Diamond 2,Eidon,,JusticeInsideMe,0
206,200,FabulousShield#1021,19,Diamond 2,tsi.抖音壮壮队长（citint,,,0
207,-112,BattleExec#4867,19,Diamond 2,,,likkle-,0
208,-6,burmo#5542,19,Diamond 2,burmo,,burmo-_-,0
209,-9,BestSnake#1249,19,Diamond 2,,Shruol,irunjumppad,0
210,-7,LuckyRocker#9861,19,Diamond 2,余某,,,0
211,152,PRM_Lotus#6328,19,Diamond 2,,PRM Lotus,,0
212,-49,KuyaSana#4180,19,Diamond 2,Onslaught,,canaadriane2325,0
213,-8,EngagingButcher#1832,19,Diamond 2,ACE,,,0
214,-8,SnappyBrain#7254,19,Diamond 2,抖音爱钱,,,0
215,-7,REVYYZ#1602,19,Diamond 2,,,Revyyz_,0
216,29,sovi#6920,19,Diamond 2,sovi（中型千场KD2.4,,adorable_power93,0
217,428,FitRinger#0945,19,Diamond 2,,,LILBARTHEL69,0
218,-21,GlitchyBoss#6979,19,Diamond 2,,Soberholic#2191,,0
219,-28,Arthe_TV#0018,19,Diamond 2,Melody's,,,0
220,137,DeathsDsireo_O#7573,19,Diamond 2,,,SauceuN33D2Taste,0
221,-10,Tylko#1101,19,Diamond 2,Tylko.,,,0
222,-77,GrandZipline#3577,19,Diamond 2,,,mxgxt,0
223,97,FlyingSoup#4218,19,Diamond 2,,,SpoIIyy,0
